cliCpfCgc	DataInclusao	cliDesativa	cliEmail	cliFantasia	cliFatBairro	cliFatCep	cliFatCidade	cliFatCidCodIBGE	cliFatEnd	cliFatEndNumero	cliFatUf	cliFone	cliId	cliNome	cliRgInsc	cliTipoCad	cliTipo
31030813000158	NULL	0		AUTO POSTO MASP ARNE	PLANO DIRETOR NORTE	77006466	PALMAS	1721000	406 NORTE AVENIDA NS 6	0	TO		35	AUTO POSTO MASP ARNE LTDA	29.491.732-2	0	1
35972238187	NULL	0		DEUSDETH PEREIRA FERREIRA	LUZIMANGUES	77500000	PORTO NACIONAL	1718204	QUADRA SQ4 LOTE 19 STR. BARCELONA LUZIMANGUE PORT. NACIONAL	19	TO		36	DEUSDETH PEREIRA FERREIRA	ISENTO	0	0
28878032000103	NULL	0		F BRAVO CONSTRUTORA	LOTEAMENTO MARTINS JORGE	77817540	ARAGUAÍNA	1702109	RUA HUMBERTO CARLOS TEIXEIRA SALA03	1110	TO		37	F BRAVO CONSTRUTORA EIRELI	ISENTO	0	1
14591277000140	NULL	0	MARIACRISTINA@LOJASNOSSOLAR.COM.BR	CONSTRUTORA E INCORPORADORA BRAVO LTDA	SETOR CENTRAL	77804020	ARAGUAÍNA	1702109	RUA GAÚCHA QUADRA 12 LT 16	05	TO	6334158442	38	CONSTRUTORA E INCORPORADORA BRAVO LTDA	ISENTO	0	1
97846910604	NULL	0		LEONARDO RODRIGO BALDAÇARA	PLANO DIRETOR SUL	77015222	PALMAS	1721000	203 SUL CONDOMÍNIO ALDEIA DO SOL QI 10 ALAMEDA 9 LOTE 10	10	TO		39	LEONARDO RODRIGO BALDAÇARA	6715287 SSP MG	0	0
59088974187	NULL	0	NFE@VALDIRAMCASSIMIRO.COM	VALDIRAM CASSIMIRO DA ROCHA SILVA	PLANO DIRETOR SUL	77025452	PALMAS	1721000	QUADRA ARSO 151 QI 31	1	TO		40	VALDIRAM CASSIMIRO DA ROCHA SILVA	ISENTO	0	0
03005462110	NULL	0		MAGNOLIA DOS SANTOS	SETOR SUDESTE	77000000	PALMAS	1721000	122SUL AL 12 QD 18 LT 17	17	TO		41	MAGNOLIA DOS SANTOS	916922SSPTO	0	0
02154955000986	NULL	0		MARBO AGRICOLA LTDA	GRACIOSA - ORLA 14	77026060	PALMAS	1721000	ORLA 14 ALAMEDA 12	S/N	TO	6136421206	42	MARBO AGRICOLA LTDA	29.515.956-1	0	1
36327263100	NULL	0		DAVID GOMES PACINE	PLANO DIRETOR SUL	77015702	PALMAS	1721000	ARSO 43 ALAMEDA 13 QI 12 LOTE 6-A	6	TO		43	DAVID GOMES PACINE	ISENTO	0	0
52746836815	NULL	0	CICERAOBRA@GMAIL.COM	ALMECIDES PEREIRA DE ANDRADE	PLANO DIRETOR SUL	77020084	PALMAS	1721000	ARSE 12 ALAMEDA 16	25	TO		44	ALMECIDES PEREIRA DE ANDRADE	ISENTO	0	0
12832855000168	NULL	0		MOCO CONSTRUTORA LTDA EPP	BAIRRO MARTINS JORGE	78885407	ARAGUAÍNA	1702109	RUA HUMBERTO CARLOS TEIXEIRA	1110	TO	6332158442	45	MOCO CONSTRUTORA LTDA EPP	ISENTO	0	1
42037604000152	NULL	0		HEITOR ORTEGA CONSTRUÇÃO LTDA	PLANO  DIRETO S	77059020	PALMAS	1721000	PAULO SABINO QD 43 LOTE 01	01	TO		46	HEITOR ORTEGA CONSTRUÇÃO LTDA	ISENTO	0	1
53433025134	NULL	0		ALTINO GONÇALVES DO SANTOS FILHO	PLANO DIRETOR SUL	77015468	PALMAS	1721000	ARSO 33 RUA 5 QI 02 LOTE 16	16	TO		47	ALTINO GONÇALVES DO SANTOS FILHO	ISENTO	0	0
42059397000137	NULL	0	APRIMORAR.FONONEURO@GMAIL.COM	ESPAÇO APRIMORAR	CENTRO	77026035	PALMAS	1721000	ORLA 14 PRAIA DA GRACIOSA AV PARQUE QI04, LT 11 SALA 6	11	TO	6330159216	48	APRIMORAR FONOAUDIOLOGIA LEMOS GONÇALVES EIRELE	ISENTO	0	1
49404008168	NULL	0		MARLIA MOURA	PLANO DIRETOR NORTE	77000000	PALMAS	1721000	ARNE 81, ALAMEDA 22, QI 18	24	TO		49	MARLIA MOURA	ISENTO	0	0
40085637000142	NULL	0	PALMAS.EXTRA@SRESPETTO.COM.BR	RODRIGUES BARROS E AZEVEDO LTDA	PLANO DIRETOR SUL	77021623	PALMAS	1721000	QUADRA ACSU SE 40 AVENIDA LO 11	11	TO	6392457702	50	RODRIGUES BARROS E AZEVEDO LTDA	29.508.883-4	0	1
16501555000157	NULL	0		STONE INSTITUICAO DE PAGAMENTO S.A	PINHEIROS	05425902	SÃO PAULO	3550308	AVENIDA DOUTORA RUTH CARDOSO 7221	SN	SP		51	STONE INSTITUICAO DE PAGAMENTO S.A	ISENTO	2	1
62505785104	NULL	0		HILTAMAR MAGELA DINIZ	ZONA RURAL	77000000	PALMAS	1721000	TO 020 KM 1,5 LOTEAMENTO COQUEIRINHO 3 ETAPA LOTE 22 ZONA RURAL PALMAS	22	TO		52	HILTAMAR MAGELA DINIZ	ISENTO	0	0
13265967000147	NULL	0	CONSTRUTORAJS26@GMAIL.COM	CONSTRUTORA JS EIRELI	PLANO DIRETOR SUL	77015316	PALMAS	1721000	ARSO 23 ALAMEDA 8 LOTE 36 QI 04 SETOR 01	36	TO	6330287714	53	CONSTRUTORA JS EIRELI	ISENTO	0	1
26879465000158	NULL	0	ECONOMICO2014@HOTMAIL.COM	SUPERMERCADO ECONOMIA	CENTRO	77610000	NOVO ACORDO	1715101	R 07 DE SETEMBRO	SN	TO	6399496324	54	LUSTOSA E CARVALHO LTDA  ME	29.477.633-8	0	1
08145334000165	NULL	0	NULL	PORTAS ROVAL	CENTRO	76350000	RUBIATABA	5218904	AV BALSAMO QD 108 LT 31	1157	GO	6233253251	56	PORTAS ROVAL LTDA - ME	10.401.807-0	1	1
18320776000154	NULL	0	ORLAPALACEHOTEL@GMAIL.COM	JC HOTEL EIRELI	ORLA OESTE	77500000	PORTO NACIONAL	1718204	RODOVIA TO 080 QUADRA 26	22A	TO	6399948725	57	JC HOTEL EIRELI	29.449.504-5	0	1
04991245109	NULL	0		PAULO EDUARDO AIRES RIBEIRO	PLANO DIRETOR SUL	77016098	PALMAS	1721000	QUADRA ARSO 52 ALAMEDA 38 QI 28 LT 14	14	TO		58	PAULO EDUARDO AIRES RIBEIRO	304558/D-TO	0	0
36497074000122	NULL	0	VIANA.IVM@GMAIL.COM	IVM EMPRENDIMENTO IMOBILIARIOS	PLANO DIRETOR SUL	77500000	PALMAS	1721000	404 SUL AVENIDA LO 11 LOTE 04 SALA 02	02	TO	6384139852	59	IVM EMPRENDIMENTO IMOBILIARIOS	ISENTO	0	1
26753681000152	NULL	0	FINANCEIRO.APAE.PALMAS@GMAIL.COM	DIR. RUTH/ FINANC. ANA	PLANO DIRETOR SUL	77022384	PALMAS	1721000	706 SUL AL 14 LT 02	S/N	TO		60	APAE PALMAS	ISENTO	0	1
17112381000101	NULL	0	NEFRO.TO@GMAIL.COM	NEFRO	PLANO DIRETOR SUL	77015206	PALMAS	1721000	QUADRA ACSU SO 20 AVENIDA LO 5	S/N	TO	6332162659	61	NEFRO LTDA	ISENTO	0	1
01574022156	NULL	0	LRENGENHARIAA@GMAIL.COM	LUIZ FELIPE SOARES COLIN	PLANO DIRETOR SUL	77015586	PALMAS	1721000	ARSO 41, ALAMEDA 24, QI 13	07	TO	6399278824	62	LUIZ FELIPE SOARES COLIN	1232227	0	0
09060539000100	NULL	0	NULL	INTERPORTAS EXPORTACAO  INDUSTRIA E COM. DE PORTAS	PALMEIRINHA	85118000	GUARAPUAVA	4109401	ROD GA 124  KM 04	1	PR	4236631158	63	INTERPORTAS EXPORTACAO  INDUSTRIA E COM. DE PORTAS	9042404354	1	1
41773288000114	NULL	0	KKCONSTRUCOESEREFORMA@GMAIL.COM	KK CONSTRUCOES E REFORMA LTDA	JARDIM AURENY III	77062046	PALMAS	1721000	RUA 38   QUADRA 170  LOTE 21	0	TO		64	KK CONSTRUCOES E REFORMA LTDA	ISENTO	0	1
10652922000218	NULL	0		PORMADE ONLINE	SÃO BASILIO MAGNO	84600905	UNIÃO DA VITÓRIA	4128203	RUA PRUDENTE DE MORAIS 940	940	PR	4235212121	65	DRZ PORTAS ECOLOGICAS LTDA	905.42848-93	0	1
50918478120	NULL	0	NEUSARENOVATO@GMAIL.COM	NEUSA MARIA EVANGELISTA	AURENY 3	77062024	PALMAS	1721000	RUA 35, QUADRA 153, LOTE 16	16	TO	6399933608	66	NEUSA MARIA EVANGELISTA	2042972	0	0
18880983091	NULL	0	AGROCRISA@GMAIL.COM	JOÃO ALBERTO RIBAS SOARES	ZONA RURAL	77570000	PIUM	1717503	FAZENDA SANTA EDWIRGES, RODOVIA TO - 285-KM- 03 À ESQUERDA KM75	75	TO		67	JOÃO ALBERTO RIBAS SOARES	1515932	0	0
57765480120	NULL	0		HERCIONE BERNARDO DE FARIAS	PLANO DIRETOR SUL	77020530	PALMAS	1721000	ARSE 22 ALAMEDA 19 LOTE 08 APTO 203 (206SUL)	08	TO		68	HERCIONE BERNARDO DE FARIAS	62821	0	0
07709325000359	NULL	0	DESIGNENGENHARIA@HOTMAIL.COM	DESIGNE ENGENHARIA E SERVIÇOS DE CONSTRUÇÃO LTDA	PLANO DIRETOR NORTE	77006314	PALMAS	1721000	QUADRA ASR NE 25 ALAMEDA 7 LOTE 11 QI 09 SALA 02	11	TO	6384557541	69	DESIGNE ENGENHARIA E SERVIÇOS DE CONSTRUÇÃO LTDA	ISENTO	0	1
20956897000139	NULL	0		M BRAVO CONSTRUTORA	LOTEAMENTO MARTINS JORGE	77817540	ARAGUAÍNA	1702109	RUA HUMBERTO CARLOS TEIXEIRA	1110	TO	6334131004	71	M BRAVO CONSTRUTORA LTDA	ISENTO	0	1
37432354634	NULL	0		SONIA MARIA DOS SANTOS ARAUJO	PLANO DIRETOR SUL	77015414	PALMAS	1721000	305 SUL (ARSO 32), RUA 7, QI 17, LOTE 39-A	39	TO		72	SONIA MARIA DOS SANTOS ARAUJO	154309	0	0
03410681000154	NULL	0		INSTITUTO FECOMÉRCIO	PLANO DIRETOR NORTE	77001004	PALMAS	1721000	QUADRA ACSU NO 10 AV JOAQUIM TEOTÔNIO SEGURADO CONJ 01	2	TO	6332281900	73	INST. FECOMÉCIO TOCANTINS DE PESQ. E DES. IFPD/TO	ISENTO	0	1
01912233100	NULL	0		ALEXANDRE OLIVEIRA MELO	PLANO DIRETOR SUL	77016072	PALMAS	1721000	QUADRA ARSO 52 ALAMEDA 41, LOTE 12-A, CONJ, QI 07	12	TO		74	ALEXANDRE OLIVEIRA MELO	811049	0	0
00690928181	NULL	0	ERICOGUELLEN@GMAIL.COM	ERICO ANTÔNIO GUELLEN	PLANO DIRETOR SUL	77016420	PALMAS	1721000	605 SUL (ARSO 62), ALAMEDA 26, CONJ, QI 18, ALAMEDA 26, LOTE 3B	3	TO		75	ERICO ANTÔNIO GUELLEN	2074954195	0	0
01569974000153	NULL	0	NULL	PORTERIT COMERCIAL   EIRELI   ME	PALMERINHA	85118000	GUARAPUAVA	4109401	IMOVEL BUTIAZINHO	124	PR	4236631158	76	PORTERIT COMERCIAL   EIRELI   ME	9024147387	1	1
04749970000145	NULL	0	FALAR COM MARCELO	ASS. BRASILEIRA DE AGENCIA DE VIAGENS DO TOCANTINS	CENTRO	77001014	PALMAS	1721000	AV JK COM NS 01  QD 103 NORTE LT 63	SN	TO	6384039390	77	ASS. BRASILEIRA DE AGENCIA DE VIAGENS DO TOCANTINS	ISENTO	0	1
37669952000102	NULL	0	DIVASIMONE@HOTMAIL.COM	CASER ENGENHARIA	VILA AGUIAR	74530360	GOIÂNIA	5208707	RUA BANDEIRANTES 24, QUADRA 03 LOTE 02,BAIRRO VIA AGUIAR	02	GO		78	CARMO SCHMIDT ENGENHARIA LTDA	ISENTO	0	1
32134989000112	NULL	0	STRATEGYGESTAO@GMAIL.COM CELSO.LIMA@STRATEGY.SRV.BR	STRATEGY	PLANO DIRETOR SUL	77020498	PALMAS	1721000	QUADRA 204 SUL ALAMEDA 6 QC 02	0	TO	6392813471	79	STRATEGY ATIVOS PASSIVOS MARCAS E PATENTES EIRELI	ISENTO	0	1
01816152000715	NULL	0	RIKALINE@BFXCONSULTORIA.COM.BR	S FERNANDES DA SILVA CONSTRUCOES LTDA	CENTRO	77300000	DIANÓPOLIS	1707009	SETOR CENTRO QUADRA28 LOTE 01	01	TO		80	S FERNANDES DA SILVA CONSTRUCOES LTDA	ISENTO	0	1
03321060000102	NULL	0		NOSSO LAR	PLANO DIRETOR NORTE	77006016	PALMAS	1721000	QUADRA ACNE 1 RUA NE 1	41	TO	6332198600	81	NOSSO LAR	29.064.398-8	0	1
03783746990	NULL	0	FAZENDA2B@HOTMAIL.COM	BRUNA ALVES BARRA	PLANO DIRETOR NORTE	77006086	PALMAS	1721000	QUADRA 106 NORTE(ARNE 12), ALAMEDA 4, LOTE 05	05	TO		82	BRUNA ALVES BARRA	88349539	0	0
85049298172	NULL	0	JAMILSONBARROS.CONTATO@GMAIL.COM	JAMILSON GUIMARÃES BARROS SAUSA	PLANO DIRETOR SUL	77016062	PALMAS	1721000	QUADRA 505 SUL, ALAMEDA 35, LOTE 12, QI 03	12	TO		83	JAMILSON GUIMARÃES BARROS SAUSA	2433032	0	0
89166752191	NULL	0		JUNIA DE OLIVEIRA SILVA	PLANO DIRETOR SUL	77019404	PALMAS	1721000	QUADRA 1201 SUL, AV NS 1 , LOTE 17, CONJUNTO 02, RESIDENCIAL MALBECK	17	TO		84	JUNIA DE OLIVEIRA SILVA	3836986	0	0
11306399000150	NULL	0	FINANCEIRO@MADEICOM.COM	MADEICOM TRANSPORTES EIRELI	PLANO DIRETOR SUL	77020178	PALMAS	1721000	ASR SE 15, Q 112 SUL RUA SR 9, CONJ 16 LOTE 14	38	TO	6332250180	85	MADEICOM TRANSPORTES EIRELI	29.419.939-0	0	1
19160587000124	NULL	0	NULL	ROVAL MADEIRAS	VILA OPERARIA	76350000	RUBIATABA	5218904	AV. BALSAMO QD 108 LT 31	1157	GO	6233253759	86	ROVAL MADEIRAS COMERCIO E IND. DE MADEIRAS LTDA ME	105828610	1	1
21533841000134	NULL	0	0	CAMPO FORTE	CENTRO	77390000	SÃO VALÉRIO DA NATIVIDADE	1720499	AV TOCANTINS  QD 31 LT 02	SN	TO	6333591055	87	CAMPO FORTE PROD VETERINARIOS E MATERIAIS DE CONST	29.462.868-1	0	1
23941500000123	NULL	0		BM SERVICOS DE APOIO ADMINISTRATIVO LTDA	PLANO DIRETOR SUL	77015507	PALMAS	1721000	QUADRA 309 SUL, RUA 1, ARSO 34, QI 02, LOTE 08 B, SN	8 B	TO	6333228904	88	BM SERVICOS DE APOIO ADMINISTRATIVO LTDA	ISENTO	0	1
04829338000101	NULL	0	NULL	INDUSTRIA DE PORTAS SAO CRISTOVAO	AREA INDUSTRIAL	89735000	LINDOIA DO SUL	4209854	RODOVIA SC 465	SN	SC	04934461750	89	INDUSTRIA DE PORTAS SAO CRISTOVAO EIRELI - ME	256156824	1	1
19205287000114	NULL	0	NULL	OFF LOG - LAF ADMINISTRACAO	PARQUE SANTA TERESA	6341160	CARAPICUIBA	3510609	RUA ITAJUBA	820	SP	1145599899	90	OFFLOG SOLUCOES EM LOGISTICA E TRANSPORTES LTDA	126071848114	1	1
33794676000153	NULL	0	NULL	UNIVERSO PORTAS EIRELI	AGUA QUENTE	12120000	TREMEMBE	3554805	RODOVIA WASHINGTON LUIZ	2641	SP	1236084142	91	UNIVERSO PORTAS EIRELI	695049540115	1	1
00082420114	NULL	0	ARQPEU@GMAIL.COM	FLAVIA FERES PEU	PLANO DIRETOR SUL	77015524	PALMAS	1721000	309 SUL QI-23 RUA 18 LOTE 12	12	TO	6384079996	92	FLAVIA FERES PEU	412.163	0	0
09358114000182	NULL	0		JPA DISTRIBUIDORA DE PECAS AUTOMOTIVAS LTDA	PLANO DIRETOR SUL	77023642	PALMAS	1721000	QUADRA 1012 SUL(ASR-SE105)AVENIDA NS 10 LOTE 14	14	TO	6332199600	93	JPA DISTRIBUIDORA DE PECAS AUTOMOTIVAS LTDA	294063374	0	1
80761160663	NULL	0	SEBASTIAOXAVIER2005@YAHOO.COM.BR	SEBASTIÃO  DOS REIS XAVIER	PLANO DIRETOR NORTE	77001048	PALMAS	1721000	QUADRA 105 NORTE, HM 02 , LOTE 05, APARTAMENTO 1603	05	TO		94	SEBASTIÃO  DOS REIS XAVIER	3966912	0	0
30104488000168	NULL	0	CONTATO@AZIMUT22.COM.BR	AZIMUT22 PROJETOS DE ARQUITETURA E ENGENHARIA LTDA	PLANO DIRETOR SUL	77006070	PALMAS	1721000	AV. JUSCELINO KUBITSCHECK, 77006-070 - SALA 104. LOTE 16 - ARNE, PALMAS - TO,	16	TO		95	AZIMUT22 PROJETOS DE ARQUITETURA E ENGENHARIA LTDA	ISENTO	0	1
00069334242	NULL	0		SIMONE FERREIRA SILVA	PLANO DIRETOR SUL	77015205	PALMAS	1721000	201 SUL, AV NSA, CONJUTO 02, LOTE 02	02	TO		96	SIMONE FERREIRA SILVA	1716918	0	0
90924002387	NULL	0		JOELSON ALVES PEREIRA	PLANO DIRETOR NORTE	77006654	PALMAS	1721000	508 N, ALAMEDA 06  , QI - 04,   LOTE - 15	04	TO		97	JOELSON ALVES PEREIRA	1.953.264	0	0
16919491168	NULL	0		ANIZIO ANTONIO DA SILVA	PLANO DIRETOR SUL	77015256	PALMAS	1721000	205 SUL (ARSO 22),  ALAMEDA 7, LOTE 2, QI 04	02	TO		98	ANIZIO ANTONIO DA SILVA	1368298	0	0
46167554000189	NULL	0		FLOW PMW RESTAURANTE LTDA	PLANO DIRETOR NORTE	77006032	PALMAS	1721000	QUADRA 104 NORTE (ACNE11) AVENIDA LO 04, LOTE 39, SALA 07, PLANO DIRETOR NORTE	39	TO		99	FLOW PMW RESTAURANTE LTDA	29.522.408-8	0	1
31149465000132	NULL	0	BRUNOEZB@GMAIL.COM	CONSTRUTORA ZANETTE LTDA	VILA SANTA ISABEL	75083325	ANÁPOLIS	5201108	RUA INGLATERRA, QUADRA 22, LOTE 04, SALA 01, VILA SANTA ISABEL	04	GO		100	CONSTRUTORA ZANETTE LTDA	10.954.977-5	0	1
10522391000168	NULL	0	IGORDIASBRAGA@HOTMAIL.COM	LAGO OESTE EMPREENDIMENTOS LTDA	GALERIA DALLAS CENTE	77014020	PALMAS	1721000	104 SUL, GALERIA DALLAS CENTER, 1° ANDAR, SALA 20. PALMAS - TO	20	TO		101	LAGO OESTE EMPREENDIMENTOS LTDA	ISENTO	0	1
41238895000184	NULL	0	FELIPEJAIME@PULSAR.COM	COMICS BAR E RESTAURANTE	PLANO DIRETOR SUL	77015200	PALMAS	1721000	QUADRA 201 SUL, LOTE 17, CONJUNTO 01, SO 20 AVENIDA JOAQUIM TEOTÔNIO SEGURADO	17	TO	6330282744	102	COMICS BAR E RESTAURANTE LTDA	29.511.448-7	0	1
98262890191	NULL	0		MICHELLE BARBOSA MECENAS	PLANO DIRETOR NORTE	77006050	PALMAS	1721000	106 NORTE AV LO 04 LOTE 11 REAL PARK RESIDENCE APTO 1401 ORLEANS	11	TO		103	MICHELLE BARBOSA MECENAS	648.847	0	0
20459585827	NULL	0		FABIO AUGUSTO SIMON	PLANO DIRETOR SUL	77016058	PALMAS	1721000	505 SUL  , ALAMEDA 25,   QI 29   , LOTE 17, PLANO DIRETOR SUL	17	TO		104	FABIO AUGUSTO SIMON	1.572.885	0	0
30652113000132	NULL	0	ELIENAYSOUZA@GMAIL.COM	ORIGEM CONSTRUTORA EMPRENDIMENTOS IMOBILIARIOS LTD	SETOR SANTA FÉ (TAQUARALTO)	77064022	PALMAS	1721000	RUA T 17, QUADRA 27, LOTE 17, CASA 02, SETOR SANTA FÉ ( TAQUARALTO)	17	TO	6332254178	105	SOUZA F CONSTRUTORA LTDA	ISENTO	0	1
43946586000194	NULL	0	COMERCIALSTAIGER@GMAIL.COM	STAIGER EMPREENDIMENTOS	CENTRO	77553000	IPUEIRAS	1709807	RUA RAIMUNDA PEREIRA, SN, CENTRO, IPUEIRAS - TO	SN	TO		106	STAIGER EMPREENDIMENTOS	ISENTO	0	1
01804245135	NULL	0	DIEGOVIANAIMOVEIS@HOTMAIL.COM	DIEGO LIMA VIANA	605 SUL	77016420	PALMAS	1721000	QUADRA 605 SUL, ALAMEDA 26, LOTE 3 C , QI 18	3C	TO		107	DIEGO LIMA VIANA	450326	0	0
77907361168	NULL	0		MARIA HELENA DIAS	PLANO DIRETOR SUL	77015278	PALMAS	1721000	ARSO 22 ALAMEDA 12 QI 04 LOTE 09	S/N	TO		108	MARIA HELENA DIAS	1861148SSPGO	0	0
28954843000146	NULL	0		VIVENCE SUITES HOTEL	PLANO DIRETOR SUL	77015200	PALMAS	1721000	QUADRA ACSU SO 20 AVENIDA JOAQUIM TEOTÔNIO SEGURADO, LOTE 13, CONJUNTO 01	13	TO	6332155550	109	VIVENCE SUITES HOTEL	29.492.104-4	0	1
09091956000110	NULL	0	NULL	PORTAS WALK	CENTRO	76350000	RUBIATABA	5218904	BALSAMO	584	GO	6233253251	110	INDUSTRIA E COMERCIO DE PORTAS WALK LTDA	104181141	1	1
48528285120	NULL	0		ANALHA FERREIRA DA CUNHA LOPES	PLANO DIRETOR SUL	77016048	PALMAS	1721000	QUADRA ARSO 52 ALAMEDA 32, LOTE 03, QI 16	03	TO		111	ANALHA FERREIRA DA CUNHA LOPES	2838947	0	0
48270613000175	NULL	0		MARCASINIO POLI COMERCIO DE CHOPP LTDA	PLANO DIRETOR NORTE	77001031	PALMAS	1721000	QUADRA ACNO 11 AVENIDA LO CONJ 03 LOTE 04	04	TO		112	MARCASINIO POLI COMERCIO DE CHOPP LTDA	29.526.048-3	0	1
